id	rank	doi	docType	title	originalTitle	bookTitle	year	date	publisher	journal	conferenceSeries	conferenceInstance	volume	issue	firstPage	lastPage	references	citations	estimatedCitations	createdAt
2564773556	24513	10.1515/kl-2015-0004	Journal	haugeard philippe ruses medievales de la generosite	Haugeard, Philippe. Ruses médiévales de la générosité		2015	2015-01-01		181307943			42				0	0	0	2017-01-06
2564773569	24008	10.5505/tjtes.2016.66267	Journal	a comparison of the treatment results of dpen reduction internal fixation and intramedullary nailing in adult forearm diaphyseal fractures	A comparison of the treatment results of dpen reduction internal fixation and intramedullary nailing in adult forearm diaphyseal fractures		2016	2016-01-01		2754011711			23	3	235	244	0	0	0	2017-01-06
2564773570	21073	10.1186/s12888-016-1114-0	Journal	pre discharge factors predicting readmissions of psychiatric patients a systematic review of the literature	Pre-discharge factors predicting readmissions of psychiatric patients: a systematic review of the literature		2016	2016-01-12	BioMed Central	94610253			16	1	449		66	9	9	2017-01-06
2564773572	26719			french south pacific policy under mitterrand 1981 1993	French South Pacific policy under Mitterrand (1981-1993)		1994	1994-01-01	University of Canterbury. French								0	0	0	2017-01-06
2564773575	24115			how i got ovah success stories of african american composition students part ii	"How I Got Ovah": Success Stories of African American Composition Students, Part II.		2001	2001-03-01									0	0	0	2017-01-06
2564773576	23253			incentives and flexibility in a decentralized multi product assemble to order system	Incentives and Flexibility in a Decentralized Multi-Product Assemble-to-Order System		2005	2005-01-01									19	1	1	2017-01-06
2564773581	22221			stromingsweerstand ten gevolge van waterplanten	Stromingsweerstand ten gevolge van waterplanten		2001	2001-01-01									0	1	1	2017-01-06
2564773597	22118	10.1159/000452859	Journal	in the era of therapeutic hypothermia how well do studies of perinatal neuroprotection control temperature	In the Era of Therapeutic Hypothermia, How Well Do Studies of Perinatal Neuroprotection Control Temperature?		2017	2017-01-01	Karger Publishers	88959177			39		7	22	73	3	3	2017-01-06
2564773603	23123	10.1108/S0065-283020160000042003		the arc of activism the james partridge award in the context of 50 years of attempts to influence diversity and inclusion in the field of library and information science by the university of maryland	The Arc of Activism: The James Partridge Award in the Context of 50 Years of Attempts to Influence Diversity and Inclusion in the Field of Library and Information Science by the University of Maryland		2016	2016-01-01									10	0	0	2017-01-06
2564773607	23197	10.1016/j.pedhc.2016.11.003	Journal	separation anxiety disorder in school age children what health care providers should know	Separation Anxiety Disorder in School-Age Children: What Health Care Providers Should Know		2017	2017-01-07	Elsevier	78878675			31	4	433	440	18	0	0	2017-01-06
2564773608	31691		Patent	automatic slack adjuster for railway brakes	AUTOMATIC SLACK-ADJUSTER FOR RAILWAY-BRAKES.		1921	1921-05-10									0	1	1	2017-01-06
2564773609	21513	10.1007/978-3-319-45669-0_8		mineralization schemes in the living world mesocrystals	Mineralization Schemes in the Living World: Mesocrystals		2017	2017-01-01	Springer, Cham						155	183	142	7	7	2017-01-06
2564773618	22143	10.1016/j.egypro.2016.11.296	Journal	urban mixed use and its impact on energy performance of micro gird system	Urban Mixed Use and its Impact on Energy Performance of Micro Gird System		2016	2016-01-12	Elsevier	75069817			103		339	344	2	1	1	2017-01-06
2564773628	22250	10.1007/978-3-319-70566-8_22		one class genera of lattice chains over number fields	One Class Genera of Lattice Chains Over Number Fields		2017	2017-01-01	Springer, Cham						503	532	24	0	0	2017-01-06
2564773634	21005		Book	mining california an ecological history	Mining California: An Ecological History		2005	2005-01-01									0	30	30	2017-01-06
2564773641	24361			의대생의 학업성적에 심리적 요인이 미치는 영향	의대생의 학업성적에 심리적 요인이 미치는 영향		2016	2016-10-01					22	3	129	136	0	0	0	2017-01-06
2564773642	24230		Journal	decolourisation of c i basic yellow 1 by photo oxidation method	Decolourisation of C.I. basic yellow 1 by photo-oxidation method		2008	2008-01-01	Trade Science Inc	2764909348			3	1			0	0	0	2017-01-06
2564773644	24673		Patent	improved drum kit and configuration method and playing method therefor	IMPROVED DRUM KIT AND CONFIGURATION METHOD AND PLAYING METHOD THEREFOR		2014	2014-11-26									7	0	0	2017-01-06
2564773646	24861			гонит в структуре ювенильного идиопатического артрита описание сустава в терминах артроскопии как способ дифференциальной диагностики	Гонит в структуре ювенильного идиопатического артрита: описание сустава в терминах артроскопии как способ дифференциальной диагностики		2012	2012-01-01	Общество с ограниченной ответственностью «Эко-Вектор»				3	3			0	0	0	2017-01-06
2564773666	22659		Journal	abstract 261 differential regulation of apolipoprotein e secretion from primary human macrophages by different protein kinase c isoforms	Abstract 261: Differential Regulation of Apolipoprotein E Secretion from Primary Human Macrophages by Different Protein Kinase C Isoforms		2012	2012-05-01	American Heart Association, Inc.	3485792			32				0	0	0	2017-01-06
2564773678	31760		Patent	gear for children s carriages	GEAR FOR CHILDREN'S CARRIAGES.		1910	1910-12-03									0	1	1	2017-01-06
2564773684	26003			수직형 반응기에서 담체의 수리적 거동 특성	수직형 반응기에서 담체의 수리적 거동 특성		2001	2001-08-01					23	8	1395	1403	0	0	0	2017-01-06
2564773692	25082			диалектика и логика экономического кризиса в россии	Диалектика и логика экономического кризиса в России		2010	2010-01-01	Федеральное государственное бюджетное образовательное учреждение высшего образования «Пермский национальный исследовательский политехнический университет»					7			0	0	0	2017-01-06
2564773693	22212	10.1080/00313831.2016.1258663	Journal	the new generation of auditors meeting praxis dual learning s role in audit students professional development	The new generation of auditors meeting praxis : dual learning's role in audit students' professional development		2018	2018-03-04	Routledge. Available from: Taylor & Francis, Ltd. 530 Walnut Street Suite 850, Philadelphia, PA 19106. Tel: 800-354-1420; Tel: 215-625-8900; Fax: 215-207-0050; Web site: http://www.tandf.co.uk/journals	55760350			62	2	307	324	35	1	1	2017-01-06
2564773694	23904	10.4025/revcivet.v3i0.33241		caracteristicas da carne de ovelhas de diferentes musculos de carcacas submetidos a dois metodos de pendura	CARACTERÍSTICAS DA CARNE DE OVELHAS DE DIFERENTES MÚSCULOS DE CARCAÇAS SUBMETIDOS A DOIS MÉTODOS DE PENDURA		2016	2016-10-06					3		283	285	0	0	0	2017-01-06
2564773705	24426			к вопросу о содержательном аспекте подготовки будущих учителей информатики в контексте организации безопасного информационного пространства	К вопросу о содержательном аспекте подготовки будущих учителей информатики в контексте организации безопасного информационного пространства		2015	2015-01-01	Общество с ограниченной ответственностью "Издательский Дом "Академия Естествознания"					3			0	0	0	2017-01-06
2564773708	23873			професійна ідентичність особистості	Професійна ідентичність особистості		2015	2015-01-01	НТУ "ХПІ"								0	0	0	2017-01-06
2564773709	29687			the challenge of pulmonary emphysema	The Challenge of Pulmonary Emphysema		1965	1965-01-01					1	1	34	41	0	0	0	2017-01-06
2564773710	26858	10.1088/0031-9112/38/6/029	Journal	the shaky game einstein realism and the quantum theory	The Shaky Game: Einstein, Realism and the Quantum Theory		1987	1987-06-01	IOP Publishing	2764513482			38	6	228	229	0	0	0	2017-01-06
2564773711	24359			rakennuksen sisailma ja kosteus vaurio miten paljon vaaraa terveydelle	Rakennuksen sisäilma ja kosteus­vaurio: miten paljon vaaraa terveydelle?		2016	2016-01-01	Suomen lääkäriliitto								0	0	0	2017-01-06
2564773714	21814	10.18517/ijaseit.6.6.1369	Journal	electronic records management system adoption readiness framework for higher professional education institutions in yemen	Electronic records management system adoption readiness framework for higher professional education institutions in Yemen		2016	2016-12-25	INSIGHT - Indonesian Society for Knowledge and Human Development	2738868728			6	6	804	811	34	5	5	2017-01-06
2564773715	24874		Patent	surgical clip applier including atraumatic jaw feature	Surgical Clip Applier Including Atraumatic Jaw Feature		2012	2012-06-21									0	0	0	2017-01-06
2564773716	24468			집단구성원의 문화적 지향성과 집단지향 규범이탈	집단구성원의 문화적 지향성과 집단지향 규범이탈		2016	2016-08-01							127	127	0	0	0	2017-01-06
2564773729	23206	10.1515/ohs-2016-0039	Journal	phytoplankton distribution and variation along a freshwater marine transition zone kizilirmak river in the black sea	Phytoplankton distribution and variation along a freshwater-marine transition zone (Kızılırmak River) in the Black Sea		2016	2016-01-01		199943830			45	4			23	0	0	2017-01-06
2564773730	24877			современный город как экопроблема	Современный город как экопроблема		2012	2012-01-01	Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Вятский государственный гуманитарный университет»				2	1			0	0	0	2017-01-06
2564773731	29048		Patent	vorrichtung zum rillieren und beschneiden von muffenrohren aus ton od dgl	Vorrichtung zum Rillieren und Beschneiden von Muffenrohren aus Ton od.dgl.		1970	1970-04-09									0	0	0	2017-01-06
2564773734	24980			subject guides graduate education subject guide etd submission student resources	Subject Guides: Graduate Education Subject Guide: ETD Submission-Student Resources		2011	2011-08-24									0	0	0	2017-01-06
2564773739	27026		Patent	schalldicht und luftdicht abgeschlossene haube fuer eine foerderbandanlage	SCHALLDICHT UND LUFTDICHT ABGESCHLOSSENE HAUBE FUER EINE FOERDERBANDANLAGE.		1991	1991-06-06									0	0	0	2017-01-06
2564773754	25668			lecture 33 double slit interference and interferometers	Lecture 33: Double-Slit Interference and Interferometers		2002	2002-01-01	Massachusetts Institute of Technology								0	0	0	2017-01-06
2564773765	24673	10.1400/222220		un italien d antan premieres donnees temporelles sur l elocution de filippo tommaso marinetti	Un italien d'antan : premières données temporelles sur l'élocution de Filippo Tommaso Marinetti		2014	2014-01-01	Fabrizio Serra					16	161	174	0	0	0	2017-01-06
2564773768	24980		Patent	optical sensor system and detecting method for enclosed semiconductor device module	Optical sensor system and detecting method for enclosed semiconductor device module		2011	2011-04-28									0	0	0	2017-01-06
2564773771	24570			experimental modelling of differentiation processes in magma chambers	Experimental modelling of differentiation processes in magma chambers		2015	2015-01-01	Universidad de Granada						1		0	0	0	2017-01-06
2564773775	23010	10.1016/j.proeng.2016.11.696	Journal	enthalpy relaxation of polystyrene at different molecular weight using fast calorimetry	Enthalpy Relaxation of Polystyrene at Different Molecular Weight Using Fast Calorimetry		2016	2016-01-01	Elsevier	45645249			167		265	269	17	1	1	2017-01-06
2564773777	28050			특집 제11기 육중전회의 분석 통치구조의 변화와 내부적갈등 호 등체제의 확립과 전망 모사상재평가와 그 향방 마르크스 주의사상의 새로운 흐름	특집:제11기 육중전회의 분석-통치구조의 변화와 내부적갈등,호.등체제의 확립과 전망,모사상재평가와 그 향방,마르크스 주의사상의 새로운 흐름		1981	1981-09-01	북한연구소						82	123	0	0	0	2017-01-06
2564773778	24775			hubungan citra merek kosmetik wardah terhadap keputusan membeli konsumen pada mahasiswi fakultas psikologi universitas islam negeri maulana malik ibrahim malang	Hubungan citra merek kosmetik Wardah terhadap keputusan membeli konsumen pada mahasiswi Fakultas Psikologi Universitas Islam Negeri Maulana Malik Ibrahim Malang		2013	2013-01-23									0	0	0	2017-01-06
2564773781	24795			deeply colored anionic polymethine dyes derived	Deeply colored anionic polymethine dyes derived		2009	2009-01-01									1	0	0	2017-01-06
2564773784	22276		Journal	environmentally sustainable economic growth energy use and co2 emissions in china	ENVIRONMENTALLY SUSTAINABLE ECONOMIC GROWTH, ENERGY USE, AND CO2 EMISSIONS IN CHINA		2016	2016-06-01	Addleton Academic Publishers	2764959887			11	2	101	107	0	1	1	2017-01-06
2564773796	23342			verification of performance characteristics of testing methods for magnesium content in fertilizer by atomic absorption spectrometry	Verification of Performance Characteristics of Testing Methods for Magnesium Content in Fertilizer by Atomic Absorption Spectrometry		2013	2013-01-01	農林水産消費安全技術センター					6	193	202	0	0	0	2017-01-06
2564773798	24506		Patent	schaltungsanordnung fuer die staendige betriebsueberwachung und fehlerdiagnose eines schrittschaltmotors	SCHALTUNGSANORDNUNG FUER DIE STAENDIGE BETRIEBSUEBERWACHUNG UND FEHLERDIAGNOSE EINES SCHRITTSCHALTMOTORS		1981	1981-05-21									0	1	1	2017-01-06
2564773799	31356	10.5555/uri:pii:S0002939429927847	Journal	the usefulness of tracumen in ophthalmology lauterstein m zeit f augenh 1928 v 66 sept p 79 see section 5 conjunctiva	The usefulness of tracumen in ophthalmology :Lauterstein, M. Zeit. f. Augenh., 1928, v. 66, Sept., p. 79. (See section 5, conjunctiva)		1929	1929-01-01	Elsevier	50016660			12	1	61		0	0	0	2017-01-06
2564773801	25118			efeitos do acondicionamento de uma porcelana dentaria em meio de saliva artificial na resistencia mecânica e previsao do tempo de vida effects of artificial saliva storage on flexural strength and lifetime prediction of a dental porcelain	Efeitos do acondicionamento de uma porcelana dentária em meio de saliva artificial na resistência mecânica e previsão do tempo de vida (Effects of artificial saliva storage on flexural strength and lifetime prediction of a dental porcelain)		2009	2009-01-01									8	0	0	2017-01-06
2564773804	23585			efeitos da privacao do sono em tarefas cognitivas	Efeitos da privação do sono em tarefas cognitivas		2016	2016-03-01	Universidade Federal do Rio Grande do Norte								0	0	0	2017-01-06
2564773805	26412			understanding and recognition of risk factors for arteriosclerosis	Understanding and Recognition of Risk Factors for Arteriosclerosis		1997	1997-05-30	JAPAN SOCIETY OF NINGEN DOCK				12	1	89	91	0	0	0	2017-01-06
2564773807	23532	10.1515/9781400882076-002	BookChapter	monotone decompositions of e3	MONOTONE DECOMPOSITIONS OF E3	Topology Seminar Wisconsin, 1965. (AM-60)	1967	1967-01-31	Princeton University Press						1	26	0	17	17	2017-01-06
2564773809	20677	10.6119/JMST-014-0327-2	Journal	evaluation of steel bridge deck ma mixture properties during construction	Evaluation of Steel Bridge Deck Ma Mixture Properties during Construction		2015	2015-06-01	臺灣海洋大學	29661429			23	3	293	301	0	5	5	2017-01-06
2564773823	23652	10.1036/1097-8542.YB140299	Journal	visible light assisted synthesis	Visible-light-assisted synthesis		2014	2014-01-01	McGraw-Hill Education	2764746627							0	0	0	2017-01-06
2564773824	26258	10.3368/lj.16.1.132	Journal	land use in america	LAND USE IN AMERICA		1997	1997-01-01		67338157			16	1	132	133	0	0	0	2017-01-06
2564773830	25135	10.1080/00213624.2006.11506947	Journal	can the wall street journal s economic forecasters predict turning points	Can the Wall Street Journal’s Economic Forecasters Predict Turning Points?		2006	2006-09-01	Informa UK Limited	93666758			40	3	808	812	4	0	0	2017-01-06
2564773834	25536			a hull form generation method on initial design stage research institute at outside organizations	A Hull Form Generation Method on Initial Design Stage(Research Institute at Outside Organizations)		2004	2004-12-28	National Maritime Research Institute				4	5	597		0	0	0	2017-01-06
2564773839	24570			the magical origin of the natural numbers	The Magical Origin of the Natural Numbers		2015	2015-01-01									21	0	0	2017-01-06
2564773843	22608			urogenital function in morbidly obese men following bariatric surgery	Urogenital function in morbidly obese men following bariatric surgery		2016	2016-01-01	Cranfield University								0	0	0	2017-01-06
2564773849	28488			the effectiveness of current methods and systems used to reduce injury	The effectiveness of current methods and systems used to reduce injury		1970	1970-01-01									0	1	1	2017-01-06
2564773850	31009		Journal	studies on the distribution of amino acids in silk iii on the distribution of serine and other main amino acids in fibroin	Studies on the Distribution of Amino Acids in Silk:(III) On the Distribution of Serine and other Main Amino Acids in Fibroin		1952	1952-01-01	The Society of Fiber Science and Technology, Japan	2764965336			8	9	448	451	0	0	0	2017-01-06
2564773853	30199		Patent	sparkerze mit einem mit wachs umhuellten mantelrohr	Sparkerze mit einem mit Wachs umhuellten Mantelrohr		1960	1960-05-05									1	0	0	2017-01-06
2564773854	25594			rheumatic diseases in the elderly a bperfect stormq	Rheumatic Diseases in the Elderly: A bPerfect StormQ		2005	2005-01-01									4	0	0	2017-01-06
2564773863	25696			исследование геометрических параметров сопла с контуром витошинского	Исследование геометрических параметров сопла с контуром Витошинского		2004	2004-01-01	Федеральное государственное бюджетное образовательное учреждение  высшего профессионального образования «Российский университет дружбы народов»					2			0	0	0	2017-01-06
2564773864	21430			der zeitungsausschnitt ein papierobjekt der moderne	Der Zeitungsausschnitt : ein Papierobjekt der Moderne		2006	2006-01-01	Fischer Taschenbuch Verlag								0	2	2	2017-01-06
2564773865	24877			к вопросу об организации самостоятельной работы курсантов по иностранному языку в вузах мвд россии	К вопросу об организации самостоятельной работы курсантов по иностранному языку в вузах МВД России		2012	2012-01-01	Федеральное государственное казенное образовательное учреждение высшего образования «Белгородский юридический институт Министерства внутренних дел Российской Федерации им. И.Д. Путилина»					1			0	0	0	2017-01-06
2564773874	25594			linia duzych predkości wroclaw poznan łodź warszawa	Linia dużych prędkości Wrocław/Poznań - Łódź - Warszawa		2005	2005-01-01							155	166	0	0	0	2017-01-06
2564773883	22622			интернет отношения в современном обществе проблемы упорядочения	Интернет-отношения в современном обществе: проблемы упорядочения		2016	2016-01-01	Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Волгоградский государственный университет»								0	0	0	2017-01-06
2564773888	22453	10.1109/AUV.2016.7778717	Conference	autonomous ship hull inspection by omnidirectional path and view	Autonomous ship hull inspection by omnidirectional path and view		2016	2016-11-01	Institute of Electrical and Electronics Engineers Inc.		2735732939				38	43	2	0	0	2017-01-06
2564773889	22019	10.18103/mra.v4i8.742	Journal	the presence of pd l1 in men with localized prostate cancer	The presence of PD-L1 in men with localized prostate cancer		2016	2016-01-01		2764661345			4	8			0	0	0	2017-01-06
2564773890	21230		Patent	feststellsystem des laugenbehalters einer waschmaschine bezuglich ihres rahmens	Feststellsystem des Laugenbehälters einer Waschmaschine bezüglich ihres Rahmens		2011	2011-04-28									3	2	2	2017-01-06
2564773896	23359		Patent	robot and control device	ROBOT AND CONTROL DEVICE		2016	2016-04-15									13	0	0	2017-01-06
2564773905	28357			on the strategies for activating learning motive papers read at fukuoka convention	On the Strategies for Activating Learning Motive(Papers Read at Fukuoka Convention)		1978	1978-06-01	THE CHUGOKU ACADEMIC SOCIETY OF ENGLISH LANGUAGE EDUCATION					8	131	133	0	0	0	2017-01-06
2564773911	27947			formation ofhydroxyl radicals andlipid peroxidation inthepresence ofiron salts detection of catalytic iron andanti oxidant activity inextracellular fluids	formation ofhydroxyl radicals andlipid peroxidation inthepresence ofiron salts Detection of'catalytic' iron andanti-oxidant activity inextracellular fluids		1982	1982-01-01									0	0	0	2017-01-06
2564773915	31137	10.1080/00144940.1948.11481360	Journal	32 coleridge s the ancient mariner	32. Coleridge’s the Ancient Mariner		1948	1948-01-03		140689941			6	5	58	60	0	0	0	2017-01-06
2564773917	25260		Patent	albuminfreie faktor viii formulierungen	Albuminfreie Faktor VIII Formulierungen		2000	2000-02-22									2	0	0	2017-01-06
2564773920	25389			groundwater flow and contaminant transport modeling niagara falls storage site lewiston new york	GROUNDWATER FLOW AND CONTAMINANT TRANSPORT MODELING NIAGARA FALLS STORAGE SITE LEWISTON, NEW YORK		2007	2007-01-01									27	0	0	2017-01-06
2564773923	24258			birth and death of the cool the glorious afflictions of jazz on screen	Birth and Death of the Cool: The Glorious Afflictions of Jazz on Screen		2016	2016-01-01	Routledge								0	0	0	2017-01-06
2564773924	30199			the photo electric earpiecetechniquefor recordingdye dilutioncurves	THE PHOTO-ELECTRIC EARPIECETECHNIQUEFOR RECORDINGDYE DILUTIONCURVES		1960	1960-01-01									0	0	0	2017-01-06
2564773928	25492	10.2527/jas1961.20188x	Journal	eradication of atrophic rhinitis and virus pig pneumonia from a swine herd	Eradication of Atrophic Rhinitis and Virus Pig Pneumonia from a Swine Herd		1961	1961-01-01	The American Society of Animal Science	72684844			20	1	88	92	0	3	3	2017-01-06
2564773930	21241	10.1371/journal.pone.0168721	Journal	procarcinogens determination and evaluation by yeast based biosensor transformed with plasmids incorporating rad54 reporter construct and cytochrome p450 genes	Procarcinogens – Determination and Evaluation by Yeast-Based Biosensor Transformed with Plasmids Incorporating RAD54 Reporter Construct and Cytochrome P450 Genes		2016	2016-12-22	Public Library of Science	202381698			11	12			59	3	3	2017-01-06
2564773932	21108	10.2312/sre.20161204	Conference	single shot layered reflectance separation using a polarized light field camera	Single-shot layered reflectance separation using a polarized light field camera		2016	2016-06-22	The Eurographics Association		2754362256				1	11	31	1	1	2017-01-06
2564773939	23533	10.1088/2058-7058/8/12/18	Journal	making too clean a break	Making too clean a break		1995	1995-12-01	IOP Publishing	9810779			8	12	25		0	0	0	2017-01-06
2564773942	24656		Journal	determining the lethal concentration lc50 96 h sodium nitrite and its impact on the liver tissue of white fish rutilus kutum kamensky 1901	Determining the lethal concentration LC50 96 h sodium nitrite and its impact on the liver tissue of white fish (Rutilus kutum Kamensky, 1901)		2014	2014-12-15	Journal of Applied Ichthyological Research	2764667085			2	3	59	70	0	0	0	2017-01-06
2564773945	27436		Patent	antriebsvorrichtung fuer mikrofilmkassetten	ANTRIEBSVORRICHTUNG FUER MIKROFILMKASSETTEN		1987	1987-11-12									2	0	0	2017-01-06
2564773948	23345	10.3389/fnagi.2016.00295	Journal	cistanche tubulosa protects dopaminergic neurons through regulation of apoptosis and glial cell derived neurotrophic factor in vivo and in vitro	Cistanche tubulosa Protects Dopaminergic Neurons through Regulation of Apoptosis and Glial Cell-Derived Neurotrophic Factor: in vivo and in vitro		2016	2016-12-16	Frontiers	118428158			8		295		44	1	1	2017-01-06
2564773953	27640			activation andproliferation signals inmouse bcells vi anti igantibodiesinduce dose dependent cell cycle progression inb cells	Activation andproliferation signals inmouse Bcells VI.ANTI-IGANTIBODIESINDUCE DOSE-DEPENDENT CELL CYCLE PROGRESSION INB CELLS		1985	1985-01-01									0	0	0	2017-01-06
2564773961	34292		Patent	locking and releasing device for boat tackles	Locking and releasing device for boat-tackles		1920	1920-02-17									0	0	0	2017-01-06
2564773962	25096			ventricolomegalia fetale borderline e outcomes perinatali	Ventricolomegalia fetale borderline e outcomes perinatali.		2008	2008-01-01									0	0	0	2017-01-06
2564773963	27231			los riesgos naturales como instrumento de planificacion de inversiones	Los riesgos naturales como instrumento de planificación de inversiones		1989	1989-01-01	Fundación MAPFRE				7	28	47	54	0	0	0	2017-01-06
2564773965	24673			gambaran kejadian penyakit infeksi pada balita yang mengalami gizi kurang di kecamatan sukorejo wilayah kerja puskesmas sukorejo kabupaten ponorogo	GAMBARAN KEJADIAN PENYAKIT INFEKSI PADA BALITA YANG MENGALAMI GIZI KURANG DI KECAMATAN SUKOREJO WILAYAH KERJA PUSKESMAS SUKOREJO KABUPATEN PONOROGO		2014	2014-12-15									0	0	0	2017-01-06
2564773968	35213		Patent	guard or protector for locomotive cabs c	GUARD OR PROTECTOR FOR LOCOMOTIVE-CABS, &C.		1911	1911-02-15									0	0	0	2017-01-06
2564773970	20642	10.1002/clc.22594	Journal	antianginal medications and long term outcomes after elective catheterization in patients with coronary artery disease	Antianginal medications and long-term outcomes after elective catheterization in patients with coronary artery disease.		2016	2016-01-12	Wiley Periodicals, Inc.	82037729			39	12	721	727	28	0	0	2017-01-06
2564773973	23784			der arabische fruhling missverstandnisse und perspektiven	Der Arabische Frühling: Missverständnisse und Perspektiven		2016	2016-01-01	DEU				4	04	12		0	0	0	2017-01-06
2564773979	28040		Patent	komplexe schwermetallhalogenide und nitrate mit lactamen bzw thiolactamen verfahren zu ihrer herstellung und ihre verwendung als fungizide complex schwermetallhalogenide and nitrates with lactams or thiolactams process for their production and their use as fungicides	Komplexe schwermetallhalogenide und -nitrate mit lactamen bzw. thiolactamen, verfahren zu ihrer herstellung und ihre verwendung als fungizide Complex schwermetallhalogenide and nitrates with lactams or thiolactams, process for their production and their use as fungicides		1981	1981-06-11									0	0	0	2017-01-06
